trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.42805066795449304, 'a': 0.5}",20,11,-14.733461690665598,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'e': 0.41948965459540316, 'a': 0.5}",20,2,-5.880622437160106,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'e': 0.4110998615034951, 'a': 0.5}",25,14,14.092161100787571,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'e': 0.4028778642734252, 'a': 0.5}",30,0,-44.919919890261006,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
46,False,"{'e': 0.39482030698795667, 'a': 0.5}",30,14,-62.24577716141007,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
47,False,"{'e': 0.38692390084819756, 'a': 0.5}",25,7,-59.41703677099237,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
48,False,"{'e': 0.3791854228312336, 'a': 0.5}",20,6,-37.16082516448311,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
49,False,"{'e': 0.37160171437460887, 'a': 0.5}",25,2,-196.14132865033184,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 5}",1
50,False,"{'e': 0.3641696800871167, 'a': 0.5}",25,0,-101.88284076984905,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
51,False,"{'e': 0.35688628648537435, 'a': 0.5}",20,13,-2.290052733593911,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'e': 0.34974856075566685, 'a': 0.5}",20,0,2.4514920125311637,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'e': 0.3427535895405535, 'a': 0.5}",20,3,7.379228930460141,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'e': 0.33589851774974244, 'a': 0.5}",35,23,7.291922191179674,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'e': 0.3291805473947476, 'a': 0.5}",25,0,-5.0107043252478425,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'e': 0.32259693644685267, 'a': 0.5}",30,12,-26.815575021221942,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'e': 0.3161449977179156, 'a': 0.5}",25,17,-28.56548528527789,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'e': 0.3098220977635573, 'a': 0.5}",20,0,4.916628522038487,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'e': 0.30362565580828615, 'a': 0.5}",25,0,-13.034890262044957,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
60,False,"{'e': 0.2975531426921204, 'a': 0.5}",25,11,-0.4532703001599834,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'e': 0.291602079838278, 'a': 0.5}",30,16,-57.35616944603902,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
62,False,"{'e': 0.2857700382415124, 'a': 0.5}",30,17,2.199589200397533,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'e': 0.2800546374766822, 'a': 0.5}",20,16,8.274031841966934,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'e': 0.27445354472714856, 'a': 0.5}",30,14,-14.797591060871186,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
65,False,"{'e': 0.2689644738326056, 'a': 0.5}",25,5,-1.7938915576394119,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
66,False,"{'e': 0.26358518435595346, 'a': 0.5}",20,0,29.396735702168357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'e': 0.25831348066883436, 'a': 0.5}",20,0,30.341721345876714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'e': 0.2531472110554577, 'a': 0.5}",20,10,-6.024238456254232,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
69,False,"{'e': 0.24808426683434853, 'a': 0.5}",20,0,2.742633019856906,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'e': 0.24312258149766156, 'a': 0.5}",25,9,23.545228130545894,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.2382601298677083, 'a': 0.5}",20,14,0.3729029335420373,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'e': 0.23349492727035415, 'a': 0.5}",35,24,14.443491046920458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.22882502872494706, 'a': 0.5}",20,1,-17.287706263312902,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
74,False,"{'e': 0.22424852815044813, 'a': 0.5}",20,8,8.632544299274347,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'e': 0.21976355758743915, 'a': 0.5}",20,0,-9.370367052308529,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
76,False,"{'e': 0.21536828643569036, 'a': 0.5}",20,0,10.509386468295949,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
77,False,"{'e': 0.21106092070697655, 'a': 0.5}",25,12,-14.620441277688808,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
78,False,"{'e': 0.20683970229283702, 'a': 0.5}",20,7,18.567672817166535,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'e': 0.20270290824698028, 'a': 0.5}",25,7,7.6811810686291375,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'e': 0.19864885008204067, 'a': 0.5}",20,9,18.347105332877295,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.19467587308039985, 'a': 0.5}",25,0,-2.0040078962385635,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'e': 0.19078235561879187, 'a': 0.5}",25,9,15.587361790572292,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'e': 0.18696670850641603, 'a': 0.5}",20,9,17.691321679667233,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'e': 0.18322737433628772, 'a': 0.5}",30,16,7.130188241980779,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'e': 0.17956282684956196, 'a': 0.5}",25,13,12.356726122443158,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.1759715703125707, 'a': 0.5}",35,18,9.11463467352787,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'e': 0.1724521389063193, 'a': 0.5}",25,13,3.5066522358315515,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'e': 0.16900309612819292, 'a': 0.5}",25,0,-30.054514594767827,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
89,False,"{'e': 0.16562303420562907, 'a': 0.5}",20,0,4.091097169133684,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'e': 0.16231057352151648, 'a': 0.5}",20,3,-1.5243829651706768,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'e': 0.15906436205108615, 'a': 0.5}",25,16,4.775945532069809,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
